"","GEO.display.label","NAICS.id","NAICS.display.label","EMP"
"379","Alabama","325211","Plastics material and resin manufacturing","2344"
"382","Alabama","325220","Artificial and synthetic fibers and filaments manufacturing","2199"
"392","Alabama","325411","Medicinal and botanical manufacturing","168"
"481","Alabama","331110","Iron and steel mills and ferroalloy manufacturing","6450"
"484","Alabama","331210","Iron and steel pipe and tube manufacturing from purchased steel","2535"
"486","Alabama","331221","Rolled steel shape manufacturing","873"
"503","Alabama","331511","Iron foundries","2356"
"505","Alabama","331513","Steel foundries (except investment)","327"
"507","Alabama","331523","Nonferrous metal die-casting foundries","750"
"514","Alabama","332114","Custom roll forming","495"
"534","Alabama","332420","Metal tank (heavy gauge) manufacturing","792"
"540","Alabama","332510","Hardware manufacturing","883"
"550","Alabama","332722","Bolt, nut, screw, rivet, and washer manufacturing","436"
"553","Alabama","332811","Metal heat treating","185"
"554","Alabama","332812","Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","693"
"555","Alabama","332813","Electroplating, plating, polishing, anodizing, and coloring","293"
"563","Alabama","332992","Small arms ammunition manufacturing","30"
"597","Alabama","333511","Industrial mold manufacturing","253"
"598","Alabama","333514","Special die and tool, die set, jig, and fixture manufacturing","581"
"600","Alabama","333517","Machine tool manufacturing","152"
"605","Alabama","333612","Speed changer, industrial high-speed drive, and gear manufacturing","188"
"610","Alabama","333911","Pump and pumping equipment manufacturing","132"
"631","Alabama","334118","Computer terminal and other computer peripheral equipment manufacturing","1191"
"636","Alabama","334220","Radio and television broadcasting and wireless communications equipment manufacturing","850"
"654","Alabama","334516","Analytical laboratory instrument manufacturing","77"
"674","Alabama","335311","Power, distribution, and specialty transformer manufacturing","250"
"675","Alabama","335312","Motor and generator manufacturing","309"
"676","Alabama","335313","Switchgear and switchboard apparatus manufacturing","339"
"700","Alabama","336211","Motor vehicle body manufacturing","1640"
"714","Alabama","336350","Motor vehicle transmission and power train parts manufacturing","989"
"716","Alabama","336360","Motor vehicle seating and interior trim manufacturing","2970"
"718","Alabama","336370","Motor vehicle metal stamping","4861"
"720","Alabama","336390","Other motor vehicle parts manufacturing","5619"
